protein,ligand,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm,pair_chains_iptm,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,micromolar_affinity_pred_value
A0A0B4J263,CER_d18_0_16_0_C16,0.7281022071838379,0.9238715171813965,0.8153892755508423,0.8153892755508423,0.0,0.7062804102897644,0.4414553642272949,0.4967048764228821,1.2170960903167725,"{'0': 0.9629863500595093, '1': 0.7309806942939758}","{'0': {'0': 0.9629863500595093, '1': 0.3453783392906189}, '1': {'0': 0.8153892755508423, '1': 0.7309806942939758}}",0.5285706520080566,0.6048749685287476,-0.2364562451839447,0.7459170818328857,1.2935975790023804,0.46383288502693176,3.3773078698104526
A0A0B4J274,CER_d18_0_16_0_C16,0.7062469720840454,0.8511135578155518,0.6707419753074646,0.6707419753074646,0.0,0.715123176574707,0.43931180238723755,0.7112352848052979,2.5439631938934326,"{'0': 0.91785728931427, '1': 0.6825831532478333}","{'0': {'0': 0.91785728931427, '1': 0.27311092615127563}, '1': {'0': 0.6707419753074646, '1': 0.6825831532478333}}",0.24059057235717773,0.628007173538208,-0.5438272953033447,0.7731915712356567,1.0250084400177002,0.4828227162361145,1.7401655727018812
A0A0B4J2H0,CER_d18_0_16_0_C16,0.7028908133506775,0.7456093430519104,0.4154159426689148,0.4154159426689148,0.0,0.7747594714164734,0.4158596694469452,1.1112984418869019,4.9013495445251465,"{'0': 0.8591659069061279, '1': 0.6265182495117188}","{'0': {'0': 0.8591659069061279, '1': 0.15448662638664246}, '1': {'0': 0.4154159426689148, '1': 0.6265182495117188}}",0.8339659571647644,0.4396970272064209,0.5871163606643677,0.49882739782333374,1.0808155536651611,0.38056668639183044,6.822852100788483
A0A0C4DH27,CER_d18_0_16_0_C16,0.7297690510749817,0.8685272336006165,0.8079893589019775,0.8079893589019775,0.0,0.7102139592170715,0.5940636396408081,0.7201226949691772,1.7202080488204956,"{'0': 0.8899850845336914, '1': 0.6935152411460876}","{'0': {'0': 0.8899850845336914, '1': 0.3606473505496979}, '1': {'0': 0.8079893589019775, '1': 0.6935152411460876}}",0.579840898513794,0.43733829259872437,0.092991903424263,0.4791625738143921,1.0666898488998413,0.39551398158073425,3.8005014145546374
A0A0C4DH68,CER_d18_0_16_0_C16,0.7915868163108826,0.8917471170425415,0.8830301761627197,0.8830301761627197,0.0,0.7687259912490845,0.5063055157661438,0.5240737795829773,1.3211264610290527,"{'0': 0.8945074677467346, '1': 0.7317044734954834}","{'0': {'0': 0.8945074677467346, '1': 0.39104756712913513}, '1': {'0': 0.8830301761627197, '1': 0.7317044734954834}}",0.7663600444793701,0.4364856481552124,0.3262474834918976,0.5387758016586304,1.206472635269165,0.33419546484947205,5.839290001037423
A0A0G2JMI3,CER_d18_0_16_0_C16,0.785812497138977,0.8571276664733887,0.803817629814148,0.803817629814148,0.0,0.7813111543655396,0.5107960104942322,0.6956530213356018,2.639547824859619,"{'0': 0.8763205409049988, '1': 0.6662659049034119}","{'0': {'0': 0.8763205409049988, '1': 0.30617937445640564}, '1': {'0': 0.803817629814148, '1': 0.6662659049034119}}",0.8526118993759155,0.41837090253829956,0.3425210118293762,0.47120583057403564,1.36270272731781,0.36553600430488586,7.122162844659171
A0A0J9YXG5,CER_d18_0_16_0_C16,0.5470863580703735,0.6088989973068237,0.5099273920059204,0.5099273920059204,0.0,0.556376039981842,0.5018474459648132,0.7326288223266602,1.574485182762146,"{'0': 0.8459794521331787, '1': 0.6069227457046509}","{'0': {'0': 0.8459794521331787, '1': 0.43121957778930664}, '1': {'0': 0.5099273920059204, '1': 0.6069227457046509}}",-0.7534132599830627,0.8308110237121582,-0.9924208521842957,0.9597023129463196,-0.5144056677818298,0.7019197344779968,0.17643581179539025
A0A0K0K1G8,CER_d18_0_16_0_C16,0.6977615356445312,0.8781852722167969,0.6695575714111328,0.6695575714111328,0.0,0.7048125267028809,0.33143624663352966,0.6485006809234619,2.4292330741882324,"{'0': 0.9505777359008789, '1': 0.7017127275466919}","{'0': {'0': 0.9505777359008789, '1': 0.30212754011154175}, '1': {'0': 0.6695575714111328, '1': 0.7017127275466919}}",0.483209490776062,0.53069669008255,-0.6217384338378906,0.5694406628608704,1.5881574153900146,0.49195268750190735,3.0423522122493702
A0A1B0GTC6,CER_d18_0_16_0_C16,0.5557777285575867,0.8261836767196655,0.7430745363235474,0.7430745363235474,0.0,0.5089535713195801,0.37415939569473267,0.6943579912185669,1.790022611618042,"{'0': 0.86202073097229, '1': 0.678611159324646}","{'0': {'0': 0.86202073097229, '1': 0.3221365511417389}, '1': {'0': 0.7430745363235474, '1': 0.678611159324646}}",0.6767457723617554,0.6855287551879883,0.3781841993331909,0.7269247174263,0.9753074049949646,0.6441328525543213,4.750570552680367
A0A1B0GTY4,CER_d18_0_16_0_C16,0.5373575091362,0.7041028738021851,0.7007264494895935,0.7007264494895935,0.0,0.4965152442455292,0.3258044421672821,1.1681907176971436,3.595369577407837,"{'0': 0.7097710371017456, '1': 0.718505859375}","{'0': {'0': 0.7097710371017456, '1': 0.2914828062057495}, '1': {'0': 0.7007264494895935, '1': 0.718505859375}}",1.2946364879608154,0.6893550157546997,1.6426355838775635,0.7257066369056702,0.9466372728347778,0.6530033946037292,19.70772474704647
A0A1B0GU29,CER_d18_0_16_0_C16,0.4136246144771576,0.31007254123687744,0.2590751349925995,0.2590751349925995,0.0,0.4522619843482971,0.31745845079421997,2.068999767303467,9.551557540893555,"{'0': 0.32296979427337646, '1': 0.5951216816902161}","{'0': {'0': 0.32296979427337646, '1': 0.08214952796697617}, '1': {'0': 0.2590751349925995, '1': 0.5951216816902161}}",1.3402109146118164,0.7005175948143005,1.5088632106781006,0.7408438324928284,1.1715584993362427,0.6601913571357727,21.88824365885553
A0A1B0GUA5,CER_d18_0_16_0_C16,0.5389801859855652,0.5589577555656433,0.4095948040485382,0.4095948040485382,0.0,0.571326494216919,0.22797147929668427,1.082374930381775,5.136176109313965,"{'0': 0.6143836379051208, '1': 0.6684147715568542}","{'0': {'0': 0.6143836379051208, '1': 0.11135703325271606}, '1': {'0': 0.4095948040485382, '1': 0.6684147715568542}}",1.2183009386062622,0.6627529263496399,1.2493717670440674,0.7163978815078735,1.187230110168457,0.6091079711914062,16.531068999621493
A0A1B0GUJ8,CER_d18_0_16_0_C16,0.6303342580795288,0.6507560610771179,0.6243982315063477,0.6243982315063477,0.0,0.6318182349205017,0.3984221816062927,1.6000494956970215,4.4727654457092285,"{'0': 0.6830310821533203, '1': 0.6639369130134583}","{'0': {'0': 0.6830310821533203, '1': 0.145502969622612}, '1': {'0': 0.6243982315063477, '1': 0.6639369130134583}}",1.16483473777771,0.5862107872962952,0.9166573882102966,0.7349299192428589,1.413012146949768,0.43749162554740906,14.616208775454002
A0A1B0GUX0,CER_d18_0_16_0_C16,0.5908928513526917,0.47472020983695984,0.6444656252861023,0.6444656252861023,0.0,0.5774996280670166,0.3557961583137512,1.1048429012298584,6.028096675872803,"{'0': 0.43891292810440063, '1': 0.676986575126648}","{'0': {'0': 0.43891292810440063, '1': 0.1749623715877533}, '1': {'0': 0.6444656252861023, '1': 0.676986575126648}}",1.3316965103149414,0.6268876791000366,1.0505732297897339,0.746059000492096,1.6128199100494385,0.5077164173126221,21.463300712555487
A0A1B0GVK7,CER_d18_0_16_0_C16,0.7068662047386169,0.7987284064292908,0.8801109194755554,0.8801109194755554,0.0,0.6635550260543823,0.4143080711364746,0.4273882210254669,0.949153482913971,"{'0': 0.7734635472297668, '1': 0.8074638247489929}","{'0': {'0': 0.7734635472297668, '1': 0.4131404161453247}, '1': {'0': 0.8801109194755554, '1': 0.8074638247489929}}",0.5021116733551025,0.7327940464019775,-0.03804122656583786,0.8199363350868225,1.0422645807266235,0.6456518173217773,3.177691068833035
A0A1B0GVQ0,CER_d18_0_16_0_C16,0.6447244882583618,0.7792781591415405,0.8176084756851196,0.8176084756851196,0.0,0.6015034914016724,0.45001351833343506,0.658652663230896,1.6202472448349,"{'0': 0.7676838636398315, '1': 0.7308486700057983}","{'0': {'0': 0.7676838636398315, '1': 0.3998144865036011}, '1': {'0': 0.8176084756851196, '1': 0.7308486700057983}}",0.9039509296417236,0.6981654763221741,0.7242940664291382,0.7569396495819092,1.083607792854309,0.639391303062439,8.015874879622347
A0A1B0GVV1,CER_d18_0_16_0_C16,0.564289927482605,0.7272897362709045,0.7057859301567078,0.7057859301567078,0.0,0.5289158821105957,0.38099902868270874,0.8663569092750549,2.5324461460113525,"{'0': 0.7414407134056091, '1': 0.6771812438964844}","{'0': {'0': 0.7414407134056091, '1': 0.3325093686580658}, '1': {'0': 0.7057859301567078, '1': 0.6771812438964844}}",0.5848846435546875,0.7301048040390015,0.2793915569782257,0.770646870136261,0.8903777599334717,0.6895627379417419,3.844896410991695
A0A1W2PPE3,CER_d18_0_16_0_C16,0.3953755497932434,0.26824912428855896,0.24431966245174408,0.24431966245174408,0.0,0.43313950300216675,0.3083529472351074,3.201810836791992,8.397089958190918,"{'0': 0.28357020020484924, '1': 0.5567092299461365}","{'0': {'0': 0.28357020020484924, '1': 0.10461258143186569}, '1': {'0': 0.24431966245174408, '1': 0.5567092299461365}}",1.1537322998046875,0.6489248275756836,1.0414838790893555,0.7668778896331787,1.265980839729309,0.5309718251228333,14.247291163228434
A0A1W2PPM1,CER_d18_0_16_0_C16,0.37004727125167847,0.24626228213310242,0.2919081747531891,0.2919081747531891,0.0,0.3895820379257202,0.2860333323478699,3.8901517391204834,11.569161415100098,"{'0': 0.2549833655357361, '1': 0.6714321970939636}","{'0': {'0': 0.2549833655357361, '1': 0.1174977645277977}, '1': {'0': 0.2919081747531891, '1': 0.6714321970939636}}",0.7093805074691772,0.49326854944229126,0.3610208034515381,0.51764315366745,1.0577402114868164,0.46889397501945496,5.1213034245448
A0A286YF46,CER_d18_0_16_0_C16,0.35802364349365234,0.5884712934494019,0.3337242603302002,0.3337242603302002,0.0,0.3640984892845154,0.26268270611763,1.433394193649292,3.7990620136260986,"{'0': 0.7127664089202881, '1': 0.6058688163757324}","{'0': {'0': 0.7127664089202881, '1': 0.15797556936740875}, '1': {'0': 0.3337242603302002, '1': 0.6058688163757324}}",0.2278907150030136,0.19778597354888916,0.8870867490768433,0.013750007376074791,-0.43130531907081604,0.3818219304084778,1.6900156059760372
A0A3G1DJQ2,CER_d18_0_16_0_C16,0.4283541142940521,0.5017889142036438,0.3815838396549225,0.3815838396549225,0.0,0.44004666805267334,0.35837239027023315,1.407472848892212,3.259639263153076,"{'0': 0.6297730207443237, '1': 0.5271063446998596}","{'0': {'0': 0.6297730207443237, '1': 0.2030227780342102}, '1': {'0': 0.3815838396549225, '1': 0.5271063446998596}}",-0.39384448528289795,0.738381028175354,-0.385038822889328,0.7899637818336487,-0.4026501476764679,0.6867982745170593,0.40378995856095434
A0A494C0Z2,CER_d18_0_16_0_C16,0.6262316703796387,0.9043780565261841,0.7893263697624207,0.7893263697624207,0.0,0.585457980632782,0.3580649793148041,0.7835131883621216,2.6197800636291504,"{'0': 0.9234055280685425, '1': 0.7305251359939575}","{'0': {'0': 0.9234055280685425, '1': 0.30168023705482483}, '1': {'0': 0.7893263697624207, '1': 0.7305251359939575}}",0.8300716876983643,0.5320646166801453,0.4511089622974396,0.616902232170105,1.2090344429016113,0.44722700119018555,6.761945836089565
A0A494C191,CER_d18_0_16_0_C16,0.6185733675956726,0.8667141199111938,0.7857509255409241,0.7857509255409241,0.0,0.5767789483070374,0.38577765226364136,0.927647054195404,2.968113660812378,"{'0': 0.8820626139640808, '1': 0.7369577288627625}","{'0': {'0': 0.8820626139640808, '1': 0.36782702803611755}, '1': {'0': 0.7857509255409241, '1': 0.7369577288627625}}",0.599180281162262,0.624340295791626,0.1074497252702713,0.6993796229362488,1.090910792350769,0.5493009686470032,3.973564629590947
A0A599,CER_d18_0_16_0_C16,0.7464854121208191,0.8755064606666565,0.656631588935852,0.656631588935852,0.0,0.7689489126205444,0.49667638540267944,0.8788692951202393,2.402338743209839,"{'0': 0.9487186670303345, '1': 0.6064052581787109}","{'0': {'0': 0.9487186670303345, '1': 0.2546670436859131}, '1': {'0': 0.656631588935852, '1': 0.6064052581787109}}",0.8804985880851746,0.3392484486103058,0.3659730851650238,0.3524610996246338,1.395024061203003,0.3260357975959778,7.594489536542748
A0AUZ9,CER_d18_0_16_0_C16,0.35823318362236023,0.24857835471630096,0.38006213307380676,0.38006213307380676,0.0,0.3527759611606598,0.2560776472091675,5.324221611022949,18.312259674072266,"{'0': 0.24986958503723145, '1': 0.6963775157928467}","{'0': {'0': 0.24986958503723145, '1': 0.12558956444263458}, '1': {'0': 0.38006213307380676, '1': 0.6963775157928467}}",1.1033819913864136,0.5831339359283447,0.7899585962295532,0.643060564994812,1.416805386543274,0.5232072472572327,12.68767341954857
A0AVK6,CER_d18_0_16_0_C16,0.35381612181663513,0.29299047589302063,0.2604455351829529,0.2604455351829529,0.0,0.3771587610244751,0.30211299657821655,5.754687309265137,15.278244018554688,"{'0': 0.2990286946296692, '1': 0.7186346650123596}","{'0': {'0': 0.2990286946296692, '1': 0.13023187220096588}, '1': {'0': 0.2604455351829529, '1': 0.7186346650123596}}",0.7839433550834656,0.6125059127807617,0.2772887647151947,0.7176682949066162,1.290597915649414,0.507343590259552,6.0805568756091555
A0JNW5,CER_d18_0_16_0_C16,0.6260116100311279,0.6736869812011719,0.6450273990631104,0.6450273990631104,0.0,0.6212576627731323,0.5431430339813232,2.6294994354248047,9.601285934448242,"{'0': 0.6746456027030945, '1': 0.7910531163215637}","{'0': {'0': 0.6746456027030945, '1': 0.2372545748949051}, '1': {'0': 0.6450273990631104, '1': 0.7910531163215637}}",1.4880890846252441,0.5596622824668884,2.0814952850341797,0.5654752254486084,0.8946830034255981,0.5538493394851685,30.767278636045337
A1L190,CER_d18_0_16_0_C16,0.7478144764900208,0.8268473744392395,0.7860027551651001,0.7860027551651001,0.0,0.7382673621177673,0.5393601655960083,0.5773084759712219,1.3097208738327026,"{'0': 0.8619829416275024, '1': 0.6813507676124573}","{'0': {'0': 0.8619829416275024, '1': 0.2593573331832886}, '1': {'0': 0.7860027551651001, '1': 0.6813507676124573}}",0.1378096640110016,0.6787347793579102,-0.6230642795562744,0.7838751077651978,0.8986836075782776,0.5735944509506226,1.3734399127071273
A2RU14,CER_d18_0_16_0_C16,0.5669812560081482,0.6622897982597351,0.627555251121521,0.627555251121521,0.0,0.551837682723999,0.356746643781662,1.1316741704940796,3.180461883544922,"{'0': 0.6932404041290283, '1': 0.6246546506881714}","{'0': {'0': 0.6932404041290283, '1': 0.20316849648952484}, '1': {'0': 0.627555251121521, '1': 0.6246546506881714}}",0.6892297267913818,0.6489133834838867,0.6293410062789917,0.7951474785804749,0.7491185069084167,0.5026792287826538,4.889109079508513
A2RUB6,CER_d18_0_16_0_C16,0.4021949768066406,0.2095697969198227,0.39177626371383667,0.39177626371383667,0.0,0.4047996401786804,0.2902752161026001,6.3608269691467285,21.040786743164062,"{'0': 0.21176885068416595, '1': 0.7053558826446533}","{'0': {'0': 0.21176885068416595, '1': 0.11613721400499344}, '1': {'0': 0.39177626371383667, '1': 0.7053558826446533}}",0.7819406390190125,0.6420143842697144,0.3985680043697357,0.7824721336364746,1.1653132438659668,0.5015566349029541,6.052581401717451
A2RUT3,CER_d18_0_16_0_C16,0.515353262424469,0.6611813902854919,0.6456605792045593,0.6456605792045593,0.0,0.482776403427124,0.370908260345459,1.3852410316467285,3.3800246715545654,"{'0': 0.6651574969291687, '1': 0.6823264956474304}","{'0': {'0': 0.6651574969291687, '1': 0.28301045298576355}, '1': {'0': 0.6456605792045593, '1': 0.6823264956474304}}",1.5429348945617676,0.6751440763473511,1.6096290349960327,0.7493331432342529,1.476240873336792,0.6009550094604492,34.908797949351204
A4D1E1,CER_d18_0_16_0_C16,0.349779337644577,0.21814201772212982,0.46702274680137634,0.46702274680137634,0.0,0.3204684853553772,0.288995623588562,6.208394527435303,15.735212326049805,"{'0': 0.2115987092256546, '1': 0.7563577890396118}","{'0': {'0': 0.2115987092256546, '1': 0.16007374227046967}, '1': {'0': 0.46702274680137634, '1': 0.7563577890396118}}",0.9210346937179565,0.6585586071014404,0.6409950256347656,0.7372811436653137,1.2010743618011475,0.5798360109329224,8.337477860995085
A4D256,CER_d18_0_16_0_C16,0.7330539226531982,0.7997678518295288,0.5072522163391113,0.5072522163391113,0.0,0.78950434923172,0.46214035153388977,1.0148495435714722,8.025578498840332,"{'0': 0.8526967763900757, '1': 0.6590754985809326}","{'0': {'0': 0.8526967763900757, '1': 0.08850395679473877}, '1': {'0': 0.5072522163391113, '1': 0.6590754985809326}}",0.9223531484603882,0.35668253898620605,0.5451844334602356,0.17570067942142487,1.2995219230651855,0.5376644134521484,8.362827688195136
A4IF30,CER_d18_0_16_0_C16,0.5983744859695435,0.686010479927063,0.5889765024185181,0.5889765024185181,0.0,0.600723922252655,0.4725445806980133,2.2181830406188965,6.737692832946777,"{'0': 0.6949403285980225, '1': 0.6803584098815918}","{'0': {'0': 0.6949403285980225, '1': 0.14912669360637665}, '1': {'0': 0.5889765024185181, '1': 0.6803584098815918}}",1.5151145458221436,0.3927280306816101,1.6903728246688843,0.400773823261261,1.3398561477661133,0.3846822679042816,32.74270428656576
A4QPH2,CER_d18_0_16_0_C16,0.6995498538017273,0.5660077333450317,0.5555847883224487,0.5555847883224487,0.0,0.7355411648750305,0.5060704350471497,1.5792754888534546,11.410074234008789,"{'0': 0.5898483991622925, '1': 0.7169873118400574}","{'0': {'0': 0.5898483991622925, '1': 0.13996128737926483}, '1': {'0': 0.5555847883224487, '1': 0.7169873118400574}}",0.9902909994125366,0.3427117168903351,0.4111686646938324,0.30755195021629333,1.5694133043289185,0.37787148356437683,9.778922390676229
A5YKK6,CER_d18_0_16_0_C16,0.7007555365562439,0.41263243556022644,0.45093783736228943,0.45093783736228943,0.0,0.7632099986076355,0.6435025334358215,1.4878267049789429,17.893983840942383,"{'0': 0.41252660751342773, '1': 0.8025729060173035}","{'0': {'0': 0.41252660751342773, '1': 0.201768696308136}, '1': {'0': 0.45093783736228943, '1': 0.8025729060173035}}",1.3681910037994385,0.40326136350631714,1.5449491739273071,0.45468178391456604,1.1914329528808594,0.3518409729003906,23.344845486825523
A6H8Y1,CER_d18_0_16_0_C16,0.3543330132961273,0.2678986191749573,0.2843601107597351,0.2843601107597351,0.0,0.3718262314796448,0.3275817632675171,4.4490156173706055,22.0362491607666,"{'0': 0.2678934335708618, '1': 0.8084869384765625}","{'0': {'0': 0.2678934335708618, '1': 0.21247531473636627}, '1': {'0': 0.2843601107597351, '1': 0.8084869384765625}}",0.8165259957313538,0.6038500666618347,0.43888282775878906,0.7019510269165039,1.1941691637039185,0.5057491064071655,6.55429516955281
